# provisional=true — until learner error/hesitation data exists (DEC-16)
# word_floor_subtlex_freqcount=250
# word_floor_subtlex_cdcount=100
# word_lower_ratio=0.5
# excluded_words=39
# word_floor_per_million=5.0
# words_per_target=12
# source=Google Books word list ∩ SUBTLEX-US
# order=concentration desc, then SUBTLEX-US frequency
target,kind,word,subtlex_freqcount,subtlex_cdcount,concentration,provisional
ed,transition,bed,9543,4113,0.667,True
ed,transition,need,66040,8076,0.500,True
ed,transition,used,17551,6326,0.500,True
ed,transition,asked,11029,5102,0.400,True
ed,transition,tried,9529,4867,0.400,True
ed,transition,wanted,25616,7039,0.333,True
ed,transition,called,17341,6101,0.333,True
ed,transition,killed,14792,4422,0.333,True
ed,transition,married,12163,3952,0.286,True
ed,transition,started,9566,4727,0.286,True
ed,transition,happened,24994,6952,0.250,True
ed,transition,supposed,12865,5464,0.250,True
de,transition,made,28626,7442,0.500,True
de,transition,dead,22898,5926,0.500,True
de,transition,idea,18311,6359,0.500,True
de,transition,deal,13330,5231,0.500,True
de,transition,dear,11395,3448,0.500,True
de,transition,side,10247,4725,0.500,True
de,transition,under,13358,5576,0.400,True
de,transition,death,11051,4278,0.400,True
de,transition,inside,10775,4811,0.333,True
de,transition,outside,8671,4429,0.286,True
de,transition,wonderful,8364,3362,0.222,True
de,transition,understand,24605,6811,0.200,True
lo,transition,lot,29066,7185,0.667,True
lo,transition,look,99311,8290,0.500,True
lo,transition,love,56864,7377,0.500,True
lo,transition,long,34433,7581,0.500,True
lo,transition,lost,13974,5685,0.500,True
lo,transition,lose,8382,4251,0.500,True
lo,transition,looks,15886,6058,0.400,True
lo,transition,alone,15735,5920,0.400,True
lo,transition,close,11191,5181,0.400,True
lo,transition,blood,9492,3526,0.400,True
lo,transition,along,9330,4314,0.400,True
lo,transition,looking,22066,6841,0.286,True
ce,transition,nice,33125,7094,0.500,True
ce,transition,once,17589,6405,0.500,True
ce,transition,face,14747,5610,0.500,True
ce,transition,place,30736,7279,0.400,True
ce,transition,since,16064,6285,0.400,True
ce,transition,dance,7550,2465,0.400,True
ce,transition,piece,6349,3510,0.400,True
ce,transition,chance,12303,5343,0.333,True
ce,transition,police,12044,3369,0.333,True
ce,transition,office,10399,3975,0.333,True
ce,transition,except,5696,3610,0.333,True
ce,transition,certainly,6067,3021,0.222,True
un,transition,run,17878,6063,0.667,True
un,transition,fun,12010,4632,0.667,True
un,transition,gun,10873,2976,0.667,True
un,transition,found,20196,6384,0.400,True
un,transition,until,15426,6129,0.400,True
un,transition,under,13358,5576,0.400,True
un,transition,young,12402,4685,0.400,True
un,transition,funny,11127,4659,0.400,True
un,transition,around,37573,7563,0.333,True
un,transition,country,8254,3298,0.286,True
un,transition,running,8054,4268,0.286,True
un,transition,understand,24605,6811,0.200,True
ol,transition,old,31056,6909,0.667,True
ol,transition,told,35679,7529,0.500,True
ol,transition,hold,22273,6456,0.500,True
ol,transition,cool,9990,3670,0.500,True
ol,transition,cold,6638,3509,0.500,True
ol,transition,fool,4556,2370,0.500,True
ol,transition,whole,19660,6432,0.400,True
ol,transition,school,16989,4531,0.333,True
ol,transition,police,12044,3369,0.333,True
ol,transition,follow,6283,3431,0.333,True
ol,transition,control,6662,3263,0.286,True
ol,transition,absolutely,5769,3291,0.200,True
tr,transition,try,24314,7053,0.667,True
tr,transition,true,12921,5312,0.500,True
tr,transition,truth,9801,4193,0.400,True
tr,transition,tried,9529,4867,0.400,True
tr,transition,trust,9087,4242,0.400,True
tr,transition,train,4848,1760,0.400,True
tr,transition,trying,22849,6841,0.333,True
tr,transition,street,7557,3411,0.333,True
tr,transition,trouble,11401,4785,0.286,True
tr,transition,country,8254,3298,0.286,True
tr,transition,control,6662,3263,0.286,True
tr,transition,straight,6244,3590,0.250,True
ec,transition,check,14228,5293,0.400,True
ec,transition,piece,6349,3510,0.400,True
ec,transition,second,14513,5734,0.333,True
ec,transition,become,5894,3286,0.333,True
ec,transition,secret,5585,2847,0.333,True
ec,transition,expect,5299,3306,0.333,True
ec,transition,because,54622,7910,0.286,True
ec,transition,perfect,8091,3915,0.286,True
ec,transition,special,7577,3885,0.286,True
ec,transition,decided,4521,2942,0.286,True
ec,transition,security,4810,2046,0.250,True
ec,transition,appreciate,4373,2885,0.200,True
rt,transition,part,13337,5604,0.500,True
rt,transition,hurt,12564,5123,0.500,True
rt,transition,sort,7584,3753,0.500,True
rt,transition,start,17345,6330,0.400,True
rt,transition,heart,12453,4582,0.400,True
rt,transition,party,11890,3724,0.400,True
rt,transition,worth,5569,3301,0.400,True
rt,transition,court,5137,1839,0.400,True
rt,transition,report,5508,2621,0.333,True
rt,transition,started,9566,4727,0.286,True
rt,transition,important,10587,4878,0.222,True
rt,transition,certainly,6067,3021,0.222,True
