rank,trigram,count,share,hand_pattern,finger_pattern,row_pattern,row_changes,same_finger_transition_count,same_finger_travel_total,repeated_key_transition_count,separated_finger_reuse,same_finger_reversal,three_finger_same_hand_shape,alternating_hands,home_reach_sum,home_reach_max,tags,top_words
1,the,69221160871,0.03299197505365841,LRL,L-index → R-index → L-middle,0 → 1 → 0,2,0,0.0,0,False,False,,True,3.2808,1.25,"alternating_hands,two_row_changes","the, they, their, there, other, these, them, then, another, others"
2,and,26468697834,0.012615428687616793,LRL,L-pinky → R-index → L-middle,1 → 2 → 1,2,0,0.0,0,False,False,,True,1.118,1.118,"alternating_hands,two_row_changes","and, hand, land, england, hands, standard, understand, understanding, demand, thousand"
3,ing,21289988294,0.01014716820478224,RRL,R-middle → R-index → L-index,0 → 2 → 1,2,0,0.0,0,False,False,,False,3.1488,1.118,two_row_changes,"being, during, following, things, having, nothing, something, going, making, king"
4,ion,20449402244,0.009746530688116845,RRR,R-middle → R-ring → R-index,0 → 0 → 2,1,0,0.0,0,False,False,redirect,False,3.1796,1.118,"redirect,one_row_change","information, national, question, action, education, section, position, conditions, production, international"
5,tio,16819216214,0.008016322678963456,LRR,L-index → R-middle → R-ring,0 → 0 → 0,0,0,0.0,0,False,False,,False,3.3116,1.25,no_row_change,"information, national, question, action, education, section, position, conditions, production, international"
6,ent,15514431359,0.007394440167244617,LRL,L-middle → R-index → L-index,0 → 2 → 0,2,0,0.0,0,False,False,,True,3.3988,1.25,"alternating_hands,two_row_changes","government, different, present, development, went, century, students, treatment, central, president"
7,ati,11778016773,0.005613601833123559,LLR,L-pinky → L-index → R-middle,1 → 0 → 0,1,0,0.0,0,False,False,,False,2.2808,1.25,one_row_change,"information, national, education, international, population, situation, organization, patient, relationship, patients"
8,for,11352182252,0.005410641904150388,LRL,L-index → R-ring → L-index,1 → 0 → 0,1,0,0.0,0,True,False,,True,2.0616,1.0308,"separated_finger_reuse,alternating_hands,one_row_change","for, before, form, information, therefore, force, foreign, forms, performance, forces"
9,her,10921772146,0.005205501174042472,RLL,R-index → L-middle → L-index,1 → 0 → 0,1,0,0.0,0,False,False,,False,3.0616,1.0308,one_row_change,"her, there, other, where, another, here, others, rather, therefore, whether"
10,ter,10298054230,0.00490822667494038,LLL,L-index → L-middle → L-index,0 → 0 → 0,0,0,0.0,0,True,False,,False,3.3116,1.25,"separated_finger_reuse,no_row_change","after, water, later, chapter, better, interest, matter, terms, international, greater"
11,hat,9595332482,0.004573297614405191,RLL,R-index → L-pinky → L-index,1 → 1 → 0,1,0,0.0,0,False,False,,False,2.25,1.25,one_row_change,"that, what, whatever, somewhat, hath, hat, hate, hatred, hated, phosphate"
